serv no,wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,amc
2804,0.080444,0.100698,0.204716,0.107239,0.235411,0.360037,0.338824,0.075066,0.274322,0.07335,0,0.051382825,0,0.497894,0.066627
2805,0.079647,0.127079,0.158089,0.10008,0.206575,0.237929,0.280286,0.072564,0.288538,0.078429,0,0.043891372,0,0.48379,0.071689
2806,0.117078,0.068513,0.222007,0.143648,0.32161,0.272504,0.392431,0.113684,0.197928,0.097912,0,0.059213364,0,0.557953,0.064249
2807,0.145781,0.055733,0.247826,0.16461,0.338419,0.280009,0.432147,0.143362,0.186298,0.112609,0,0.059495369,0,0.636837,0.066393
2808,0.149601,0.08628,0.278349,0.182365,0.431315,0.4603,0.487636,0.149409,0.107394,0.131511,0.046331,0.168824069,0.537066,0.723472,0.122738
2809,0.134075,0.106387,0.27882,0.171308,0.444005,0.314757,0.476686,0.132689,0.15125,0.120991,0.04971,0.152524869,0.537066,0.636608,0.120665
2810,0.181211,0.03859,0.472732,0.23014,0.538479,0.985127,0.664033,0.18117,0.088644,0.168699,0.038875,0.274846014,0.537066,0.466756,0.168428
2811,0.116331,0.055733,0.260797,0.15781,0.390242,0.324412,0.433829,0.11253,0.253677,0.099978,0,0.059658354,0,0.542601,0.059582
2869,0.105332,0.112623,0.404573,0.110886,0.237744,0,0.228236,0.100997,0.364415,0.087764,0,0,0,0.187662,0.072362
2882,0.119712,0.250923,0.357958,0.128705,0.293794,0.288483,0.544112,0.128347,0.326926,0.141968,0.28582,0.618200527,0.364747,0.501964,0.396023
2883,0.050856,0.155548,0.233914,0.071241,0.149849,0.121098,0.279711,0.044438,0.609036,0.084275,0,0,0,0.269313,0.071266
2889,0.208841,0.135516,0.203867,0.177016,0.431038,0.275994,0.3036,0.212552,0.355353,0.182556,0,0,0,0.433078,0.063896
2890,0.17103,0.018758,0.677587,0.262876,0.739298,1,0.850191,0.170216,0.200777,0.132101,0,0,0,0.022617,0.013335
2902,0.133908,0.057993,0.59883,0.124487,0.229946,0,0.276577,0.134918,0.114428,0.108614,0,0,0,0.429841,0.02522
